RI,92,2020,1.5,0,0,0
RI,93,2020,0.5,0,0,0
RI,95,2018,5.5,0,0,0
RI,95,2020,0,0,0,0
RI,96,2020,1.5,0,1,8
RI,97,2020,0,0,0,0
RI,98,2019,0,0,0,0
RI,98,2020,4.5,4.5,0.5,4
RI,99,2019,0,0,0,0
RI,99,2020,0,0,0,0
RI,100,2020,0,0,2,2
RI,101,2018,3,0,1,0
RI,101,2020,3.5,8,4.5,8
RI,102,2018,3.5,0,0,0
RI,102,2020,5,4,2.5,7
RI,103,2019,9.5,9,6.5,3
RI,103,2020,5,14,4.5,10
RI,104,2020,4,7,3.5,4
RI,105,2019,8.5,13,8,5
RI,105,2020,0,0,1.5,0
RI,106,2020,1,0,0,0
RI,107,2019,6,1,2.5,1
RI,107,2020,3,3,2,9
RI,108,2018,4,3,0,0
RI,108,2020,0,0,0,0
RI,109,2019,0.5,0,0,0
RI,109,2020,0.5,0,0,0
RI,110,2019,6.5,15,10,13
RI,110,2020,1,0,2.5,0
RI,111,2019,8,13,4,11
RI,111,2020,1.5,0,0,0
RI,112,2019,0,0,0,0
RI,112,2020,1,0,1,0
RI,113,2020,4,0,1.5,0
RI,114,2020,0,0,2.5,6
RI,115,2020,3.5,0,3,4
RI,116,2020,0,0,0,0
RI,117,2019,4,13,5,10
RI,117,2020,0,0,0,0
RI,118,2018,5,13,2,8
RI,118,2019,3.5,0,0,0
RI,118,2020,6.5,6,8,19
RI,119,2018,7,5,5,21
RI,119,2019,4.5,8,2,8
RI,119,2020,2.5,3,3.5,2
RI,120,2020,2.5,3,7.5,4
RI,121,2020,6,14,13.5,22
RI,122,2019,1.5,12,3.5,2
RI,122,2020,5.5,9,13.5,17
RI,124,2020,5,17,5,13.5
RI,125,2019,6.5,1,4,2
RI,125,2020,0,0,2.5,1
RI,126,2020,0,0,3.5,4
RI,127,2020,5,2,4,3
RI,128,2019,5,4,7.5,11
RI,128,2020,8.5,15,10.5,18
RI,129,2019,5.5,9,8,0
RI,129,2020,3,18,10,13
RI,130,2018,0,0,0,0
RI,130,2020,5,0,2.5,8
RI,131,2020,5,9,11,15
RI,132,2020,1,6,2,0
RI,133,2019,6,0,0,0
RI,133,2020,4.5,2,3,2
RI,134,2018,7.5,9,7,17
RI,134,2020,3.5,0,3,1
RI,135,2019,3,0,0,0
RI,135,2020,7,2,7,0
RI,136,2020,5.5,6,5.5,10
RI,137,2020,5,4,1.5,0
RI,138,2020,3.5,0,1,0
RI,139,2020,0.5,0,0,0
RI,140,2020,3.5,1,9,2
RI,141,2020,9,20,9,18
RI,143,2020,1,20,0,0
RI,144,2020,2,0,0,0
RI,145,2020,3.5,10,0,4
RI,146,2020,3.5,4,6.5,4
RI,147,2020,3,16,3.5,7
RI,150,2020,7,20,7,4
RI,151,2020,5,13,11.5,17
RI,152,2020,6.5,18,11,25
RM,18,2016,4,11,7.5,17
RM,23,2017,8,20,13.5,23
RM,25,2016,4,13,3.5,7
RM,29,2017,3,13,0,0
RM,32,2016,6,14,6.5,14
RM,33,2017,0,0,0,0
RM,41,2017,4.5,12.5,4.5,8
RM,43,2016,0.5,0,0,0
RM,50,2015,0,0,0,0
RM,66,2017,0,0,0,0
RM,75,2017,7,5.5,4.5,10
RM,78,2016,0,0,0,0
RM,84,2015,3,3,0,0
RM,92,2017,0,0,0,0
RM,94,2017,3,0,0,0
RM,97,2017,0,0,0,0
RM,98,2015,0,0,0,0
RM,109,2017,5.5,0,0,0
RN,1,2020,7.5,7.5,6,10
RN,2,2020,7,9.5,11,11
RN,3,2019,1,0,2,1
RN,3,2020,8.5,20,13,25
RN,4,2020,8.5,20,11,18
RN,5,2019,1.5,0,5,1
RN,5,2020,7.5,20,10,18
RN,6,2020,8,9.5,10,10
RN,7,2019,0,0,0,0
RN,7,2020,4.5,9.5,11,5
RN,8,2020,5,1,6,3
RN,9,2020,5,1,2,2
RN,10,2020,3,7,10,11
RN,11,2019,3.5,4,2,1
RN,11,2020,7.5,20,12,11
RN,12,2020,5.5,20,11,18
RN,14,2020,0,0,0,0
RN,15,2020,8,8,14,16
RN,16,2020,5,14.5,9,24
RN,17,2020,7,14,10,9
RN,18,2020,6,16,13,24
RN,19,2020,7,6,13,25
RN,20,2019,6,3,9.5,8
RN,20,2020,7,14,14,20
RN,21,2020,5.5,19,11.5,16
RN,22,2020,5,20,8.5,25
RN,23,2020,4,0,0,0
RN,24,2020,3,0,0,0
RN,25,2019,4.5,0,2,0
RN,25,2020,6,13.5,11,13
RN,26,2020,0,0,0,0
